,name,lr,device,num_viz,patience,grover_fp,out_feats,use_wandb,batch_size,ff_dropout,group_name,model_type,num_epochs,conv_stride,gnn_dropout,max_seq_len,num_workers,print_every,random_seed,project_note,use_mut_loss,ff_num_layers,gat_num_heads,gnn_pool_type,use_carc_loss,viz_layer_idx,wandb_run_dir,conv_pool_size,conv_pool_type,fix_pt_weights,gnn_num_layers,mut_loss_ratio,separate_heads,conv_num_layers,ff_hidden_feats,lr_decay_factor,conv_kernel_size,conv_num_kernels,cross_validation,fraction_of_data,gnn_hidden_feats,mut_pre_training,gradient_clip_norm,network_weight_decay,number_of_parameters,cpdb_train_continuous,early_stopping_metric,training_mut_datasets,training_carc_datasets,held_out_test_mut_datasets,held_out_test_carc_datasets,test_mut_loss,validation_mut_pr_auc,training_mutagenic_loss,final_valid_carc_pearson_r2,final_valid_loss,test_mut_roc_auc,test_carc_pearson_r2,held_out_test_mut_loss,held_out_test_carc_roc_auc_score,_step,_timestamp,test_carc_rmse,training_mut_pr_auc,final_valid_carc_loss,test_carc_loss,training_mut_roc_auc,validation_mut_roc_auc,held_out_test_carc_loss,held_out_test_mut_pr_auc,held_out_test_carc_pr_auc_score,_runtime,training_carc_rmse,final_valid_mut_loss,final_valid_carc_rmse,final_valid_mut_roc_auc,training_carcinogenic_loss,training_loss,held_out_test_loss,training_carc_pearson_r2,validation_carc_pearson_r2,epoch,validation_carc_rmse,test_loss,test_mut_pr_auc,validation_loss,validation_mut_loss,validation_carc_loss,final_valid_mut_pr_auc,held_out_test_mut_roc_auc,training_carc_nan
10,2021_07_19_01_46_46_1,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,True,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.559882640838623,0.7020142966293976,0,0.054783932770600105,0.6298387348651886,0.7788873870474178,0.06077597083307527,0.6299152970314026,0.7238301604498787,304,1626674337,1.1650075912475586,NaN,0.6937887221574783,1.4135446548461914,NaN,0.7590834864258011,0.6478867828845978,0.591603324936639,0.7063525401123794,342,0.89414381980896,0.60243159532547,0.7325509190559387,0.7684595495679389,0.7917492032051087,0.2375247687101364,0.6353067755699158,0.23283958848405975,0.05373753104637922,59,0.7693386077880859,0.8159812688827515,0.8350090247455882,0.6146268248558044,0.6190938353538513,0.6042037904262543,0.7069485243839883,0.7301347708894879,NaN
11,2021_07_19_01_46_46_0,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,True,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,True,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.6155617237091064,0.8031494735303439,0,0.1039094050538593,1.1201258301734924,0.741035349829268,0.025327866748693008,0.6411702632904053,0.7105453232213796,344,1626673989,1.4335402250289917,NaN,2.3672227263450623,1.9562878012657168,NaN,0.7926347009391993,0.6460314989089966,0.540528263999561,0.6308833349390484,360,0.7573179006576538,0.5856557190418243,1.126325249671936,0.7922341350333236,0.5876672625541687,0.17630018591880797,0.6426286399364471,0.3429024796755736,0.09602004011101238,103,1.1400736570358276,1.017779529094696,0.654025247390563,0.701272189617157,0.5215596556663513,1.1206014156341553,0.8024864329625313,0.695612458820006,NaN
12,2021_07_19_01_39_08_2,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,False,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.687821090221405,0.674157100393735,0,0.0004575255713247099,0.6669527292251587,0.5853836909871245,0.023127218504970803,0.6876939237117767,0.5135041015322706,51,1626673596,0.9959650039672852,NaN,0.6254176199436188,0.8835741281509399,NaN,0.4571799077005225,0.6911623477935791,0.4637294001591254,0.5013597197720981,80,1.0219467878341677,0.6847535073757172,0.7352511882781982,0.568068957626149,0.9983364105224608,0.29950093030929564,0.6887344717979431,0.09644807936887428,0.047047097513425055,51,0.7509731650352478,0.7465469837188721,0.6211004791311433,0.7273002564907074,0.6990384459495544,0.7932444959878922,0.7253484351494657,0.6573330338424679,
13,2021_07_19_01_39_08_1,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,False,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.7042639255523682,0.4069256609664227,0,0.12944936359891426,0.6068293154239655,0.4455632019870049,0.10830470752349736,0.7417723834514618,0.6858071505958829,199,1626673508,1.130059838294983,NaN,0.33533384650945663,1.05930358171463,NaN,0.4992260325236443,0.6478248834609985,0.304348293094642,0.6667433388452784,263,0.900842010974884,0.7231845557689667,0.6958497166633606,0.496734027352521,0.8007673501968384,0.24023021161556243,0.713588148355484,0.22272054227712404,0.12569983416204264,199,0.6977877020835876,0.8107758164405823,0.5607553796058569,0.6316679120063782,0.7148773968219757,0.43751242756843567,0.4058865458409136,0.45581162024558247,
14,2021_07_19_01_39_08_0,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,False,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.687161922454834,0.4988954883056683,0,0.04648468108409982,0.710612028837204,0.5260337680719847,0.1483016656052877,0.6953513026237488,0.5923747613888459,56,1626673239,0.9556348919868468,NaN,0.7384352833032608,0.8415784537792206,NaN,0.5335111732319703,0.6760797500610352,0.3135068926021447,0.5729317901244926,71,0.8934511542320251,0.6986877620220184,1.1238324642181396,0.5310779484207476,0.7787630200386048,0.23362891674041747,0.6895698308944702,0.11160356445976675,0.07395539078106755,56,1.1287147998809814,0.7334868609905243,0.4253196299671402,0.7161252498626709,0.6992202699184418,0.7555702105164528,0.500874118402844,0.4782584606169512,
15,2021_07_19_01_18_39_2,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,True,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.5464646220207214,0.8700872655672715,0,0.07532861540706416,0.5580397844314575,0.7823656652360514,0.08572851285786286,0.5949844121932983,0.6972346901924367,177,1626673137,0.974910318851471,NaN,0.5843516886234283,1.067297101020813,NaN,0.7674815973149243,0.6567512452602386,0.5932432853963849,0.6363464798703014,251,0.9653032422065736,0.5467633008956909,0.7516801357269287,0.7890461115984593,0.9271883368492126,0.27815651297569277,0.6135144531726837,0.16328905872330124,0.04613725543060655,51,0.7783203721046448,0.7027143836021423,0.8222221863590349,0.524917483329773,0.5492295026779175,0.46818944811820984,0.890633422209168,0.7524004192872118,NaN
16,2021_07_19_01_18_39_1,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,True,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.5649764239788055,0.6751609565946034,0,0.13361258622765734,0.6042447090148926,0.7926235188374374,0.1078320857659254,0.6164839565753937,0.7041479647113451,421,1626672879,1.1236451864242554,NaN,0.6049865931272507,1.1417273581027985,NaN,0.7372490984554672,0.6290303766727448,0.561461069414976,0.7006270107364818,516,0.8896920680999756,0.6039267480373383,0.7075496315956116,0.7558651425460978,0.7823458552360535,0.2347037672996521,0.62024787068367,0.24301158711357132,0.1249884114022524,108,0.7097359895706177,0.7380017340183258,0.8470767874446903,0.5841059982776642,0.6119320392608643,0.5191785991191864,0.6886310642256779,0.7265663372267146,NaN
17,2021_07_19_01_18_39_0,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,True,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,True,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.6482181549072266,0.7998727225653651,0,0.08467700882060908,0.6886394023895264,0.7438629448080856,0.12415421759363736,0.6095920205116272,0.6829438167466337,323,1626672356,1.041894555091858,NaN,0.9270017147064208,1.063668429851532,NaN,0.8009784035317982,0.6760255992412567,0.5840849725662699,0.6520445510936641,416,0.813338041305542,0.5864841341972351,1.1137580871582031,0.8064542246919051,0.6482944130897522,0.19448833167552948,0.6295220851898193,0.2512698837290304,0.08527488712727888,88,1.147044062614441,0.7728532552719116,0.6524313235553458,0.5900754779577255,0.5610270202159882,0.6578551530838013,0.8054715613804202,0.7333677747828692,NaN
18,2021_07_19_01_14_43_2,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,False,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.6908508241176605,0.6670723594600705,0,0.005030236404097337,0.662719190120697,0.5789871244635193,0.08138396999039801,0.6881321370601654,0.5715317546303462,52,1626671908,0.991890013217926,NaN,0.588228166103363,0.7895808517932892,NaN,0.464312140051108,0.6938603520393372,0.3847614559401597,0.5315660391457329,54,0.9639663100242616,0.6946439146995544,0.7292472720146179,0.5926961363896411,0.9814650416374208,0.29443952441215515,0.6898506283760071,0.14971190282856067,0.0017025952579160606,52,0.819484531879425,0.7204698324203491,0.6245400856897634,0.800668478012085,0.8180510103702545,0.7601093053817749,0.7429992261575465,0.5665184186882299,
19,2021_07_19_01_14_43_1,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,7768,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,False,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.7440815567970276,0.46062651008129807,0,0.0459407831306485,0.6319917440414429,0.354477279120668,0.05753285741722108,0.7162366807460785,0.651189186400454,67,1626671847,1.167463779449463,NaN,0.44135354459285736,1.4421268105506897,NaN,0.5166938831053957,0.6625515222549438,0.316967898021963,0.6535502677105782,69,0.9458377361297609,0.7136938273906708,0.7264231443405151,0.44058991630945094,0.8866780638694763,0.2660034269094467,0.7001311182975769,0.1416059394386741,0.030722906357209003,67,0.7518585324287415,0.9534951448440552,0.5152493352551116,0.6474389433860779,0.6987184286117554,0.5277867913246155,0.3831114568585636,0.4491764001197964,
