ratio_of_positive_carc,number_of_experiments_carc,cas_number,substance_name,use_carc,positive_carc,positive_stringent_carc,negative_carc,negative_stringent_carc,ratio_of_positive_mut,number_of_experiments_mut,use_mut,positive_mut,positive_stringent_mut,negative_mut,negative_stringent_mut,positive,positive_stringent,negative,negative_stringent,use,smiles
,,3070-86-8,"N,N'-DIACETYL-4,4'-DIAMINODIPHENYL ETHER",,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC(=O)Nc1ccc(Oc2ccc(NC(C)=O)cc2)cc1
,,3074-00-8,6H-BENZO[CD]PYREN-6-ONE,,,,,,0.0,2.0,,0.0,0.0,1.0,0.0,0,0,1,0,",",O=C1c2cccc3ccc4ccc5cccc1c5c4c23
,,3074-03-1,11H-BENZO[B]FLUOREN-11-ONE,,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",O=C1c2ccccc2c3cc4ccccc4cc13
,,30747-87-6,"3-CHLORO-5-NITRO-1,2-BENZISOTHIAZOLE",,,,,,1.0,1.0,,1.0,0.0,0.0,0.0,1,0,0,0,",",[O-][N+](=O)c1ccc2snc(Cl)c2c1
,,3077-12-1,"N,N-BIS(2-HYDROXYETHYL)-P-TOLUIDINE",,,,,,0.5,2.0,,0.0,0.0,0.0,0.0,0,0,0,0,",",Cc1ccc(cc1)N(CCO)CCO
,,3077-85-8,3-NITROCARBAZOLE,,,,,,0.6428571428571429,28.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",[O-][N+](=O)c1ccc2[nH]c3ccccc3c2c1
,,3081-14-9,"N,N'-BIS(1,4-DIMETHYLPENTYL)-P-PHENYLENEDIAMINE",,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CC(C)CCC(C)Nc1ccc(NC(C)CCC(C)C)cc1
,,3081-61-6,L-THEANINE,,,,,,0.0,4.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",CCNC(=O)CCC(N)C(O)=O
,,3083-23-6,"1,2-EPOXY-3,3,3-TRICHLOROPROPANE",,,,,,0.8,10.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",ClC(Cl)(Cl)C1CO1
,,3083-25-8,"1,2-EPOXY-4,4,4-TRICHLOROBUTANE",,,,,,0.16666666666666666,6.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",ClC(Cl)(Cl)CC1CO1
,,309-36-4,SODIUM METHOHEXITAL,,,,,,0.0,12.0,,0.0,0.0,1.0,1.0,0,0,1,1,",",[Na+].CCC#CC(C)C1(CC=C)C(=O)[N-]C(=O)N(C)C1=O
,,3096-52-4,2-NITRO-9-FLUORENONE,,,,,,0.92,25.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",[O-][N+](=O)c1ccc2c3ccccc3C(=O)c2c1
,,3096-62-6,"2,3-DIMETHYLPHENYLHYDROXYLAMINE",,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cc1cccc(NO)c1C
,,3096-63-7,"2,6-DIMETHYLPHENYLHYDROXYLAMINE",,,,,,1.0,2.0,,1.0,1.0,0.0,0.0,1,1,0,0,",",Cc1cccc(C)c1NO
